BBL_SPECIES_NAME,EBIRD_SPECIES_CODE_OVERRIDE,EBIRD_PRIMARY_COM_NAME,EBIRD_SCI_NAME,EBIRD_CATEGORY
Tule White-fronted Goose,gwfgoo,Greater White-fronted Goose,Anser albifrons,species
Lesser Snow Goose,snogoo,Snow Goose,Anser caerulescens,species
Blue Greater Snow Goose,snogoo,Snow Goose,Anser caerulescens,species
Greater Snow Goose,snogoo,Snow Goose,Anser caerulescens,species
Atlantic Brant,brant,Brant,Branta bernicla,species
Black X Atlantic Brant Intergrade,brant,Brant,Branta bernicla,species
Black Brant,brant,Brant,Branta bernicla,species
Aleutian Canada Goose,cacgoo1,Cackling Goose,Branta hutchinsii,species
Large Canada Goose,cangoo,Canada Goose,Branta canadensis,species
Small Canada Goose,cangoo,Canada Goose,Branta canadensis,species
Whistling Swan,tunswa,Tundra Swan,Cygnus columbianus,species
Bewick's Swan,tunswa,Tundra Swan,Cygnus columbianus,species
European Green-winged Teal,gnwtea,Green-winged Teal,Anas crecca,species
California Ridgway's Rail,ridrai1,Ridgway's Rail,Rallus obsoletus,species
Light-footed Ridgway's Rail,ridrai1,Ridgway's Rail,Rallus obsoletus,species
Yuma Ridgway's Rail,ridrai1,Ridgway's Rail,Rallus obsoletus,species
Clapper Rail,clarai11,Clapper Rail,Rallus crepitans,species
Hawaiian Gallinule,comgal1,Common Gallinule,Gallinula galeata,species
Eastern Black Rail,blkrai,Black Rail,Laterallus jamaicensis,species
Mississippi Sandhill Crane,sancra,Sandhill Crane,Antigone canadensis,species
Hawaiian Stilt,bknsti,Black-necked Stilt,Himantopus mexicanus,species
Lesser Golden-Plover,y00222,American/Pacific Golden-Plover (Lesser Golden-Plover),Pluvialis dominica/fulva,slash
Western Snowy Plover,snoplo5,Snowy Plover,Charadrius nivosus,species
Rufa Red Knot,redkno,Red Knot,Calidris canutus,species
Xantus's Murrelet,xanmur,Scripps's/Guadalupe Murrelet (Xantus's Murrelet),Synthliboramphus scrippsi/hypoleucus,slash
Unidentified Mew Gull,mewgul2,Short-billed Gull,Larus brachyrhynchus,species
Thayer's Gull,y00478,Iceland Gull,Larus glaucoides,species
Interior Least Tern,leater1,Least Tern,Sternula antillarum,species
California Least Tern,leater1,Least Tern,Sternula antillarum,species
Cayenne Tern,santer1,Sandwich Tern,Thalasseus sandvicensis,species
Great White Heron,grbher3,Great Blue Heron,Ardea herodias,species
Puerto Rican Sharp-shinned Hawk,shshaw,Sharp-shinned Hawk,Accipiter striatus,species
Puerto Rican Broad-winged Hawk,brwhaw,Broad-winged Hawk,Buteo platypterus,species
Harlan's Hawk,rethaw,Red-tailed Hawk,Buteo jamaicensis,species
Northern Spotted Owl,spoowl,Spotted Owl,Strix occidentalis,species
California Spotted Owl,spoowl,Spotted Owl,Strix occidentalis,species
Mexican Spotted Owl,spoowl,Spotted Owl,Strix occidentalis,species
Yellow-shafted Flicker,norfli,Northern Flicker,Colaptes auratus,species
Red-shafted Flicker,norfli,Northern Flicker,Colaptes auratus,species
Audubon's Crested Caracara,y00678,Crested Caracara,Caracara plancus,species
Traill's Flycatcher,y00324,Alder/Willow Flycatcher (Traill's Flycatcher),Empidonax alnorum/traillii,slash
Southwestern Willow Flycatcher,wilfly,Willow Flycatcher,Empidonax traillii,species
Western Flycatcher,wesfly,Pacific-slope/Cordilleran Flycatcher (Western Flycatcher),Empidonax difficilis/occidentalis,slash
Least Bell's Vireo,belvir,Bell's Vireo,Vireo bellii,species
Solitary Vireo,solvir1,solitary vireo sp.,Vireo cassinii/solitarius/plumbeus,spuh
San Clemente Loggerhead Shrike,logshr,Loggerhead Shrike,Lanius ludovicianus,species
Western Scrub-Jay,wesjay,California/Woodhouse's Scrub-Jay,Aphelocoma californica/woodhouseii,slash
Northwestern Crow,amecro,American Crow,Corvus brachyrhynchos,species
Plain Titmouse,y00326,Oak/Juniper Titmouse (Plain Titmouse),Baeolophus inornatus/ridgwayi,slash
Streaked Horned Lark,horlar,Horned Lark,Eremophila alpestris,species
