"BBL_SPECIES_ID","BBL_SPECIES_NAME","BBL_SCI_NAME","EBIRD_SPECIES_CODE","EBIRD_PRIMARY_COM_NAME","EBIRD_SCI_NAME","EBIRD_CATEGORY","EBIRDST_CODE"
1770,"Black-bellied Whistling-Duck","Dendrocygna autumnalis","bbwduc","Black-bellied Whistling-Duck","Dendrocygna autumnalis","species","bbwduc"
1771,"West Indian Whistling-Duck","Dendrocygna arborea","wiwduc1","West Indian Whistling-Duck","Dendrocygna arborea","species","wiwduc1"
1780,"Fulvous Whistling-Duck","Dendrocygna bicolor","fuwduc","Fulvous Whistling-Duck","Dendrocygna bicolor","species","fuwduc"
1710,"Greater White-fronted Goose","Anser albifrons","gwfgoo","Greater White-fronted Goose","Anser albifrons","species","gwfgoo"
1719,"Tule White-fronted Goose","Anser albifrons elgasi","gwfgoo","Greater White-fronted Goose","Anser albifrons","species","gwfgoo"
1760,"Emperor Goose","Anser canagicus","empgoo","Emperor Goose","Anser canagicus","species","empgoo"
1690,"Lesser Snow Goose","Anser caerulescens caerulescens","snogoo","Snow Goose","Anser caerulescens","species","snogoo"
1691,"Blue Goose","Anser caerulescens","snogoo","Snow Goose","Anser caerulescens","species","snogoo"
1695,"Snow X Blue Goose Intergrade","Anser caerulescens","snogoo","Snow Goose","Anser caerulescens","species","snogoo"
1698,"Blue Greater Snow Goose","Anser caerulescens atlantica","snogoo","Snow Goose","Anser caerulescens","species","snogoo"
1699,"Greater Snow Goose","Anser caerulescens atlantica","snogoo","Snow Goose","Anser caerulescens","species","snogoo"
1703,"Snow X Ross's Goose Hybrid","Anser caerulescens x rossii","sxrgoo1","Snow x Ross's Goose (hybrid)","Anser caerulescens x rossii","hybrid",NA
1700,"Ross's Goose","Anser rossii","rosgoo","Ross's Goose","Anser rossii","species","rosgoo"
1730,"Atlantic Brant","Branta bernicla hrota","brant","Brant","Branta bernicla","species","brant"
1731,"Black X Atlantic Brant Intergrade","Branta bernicla hrota x bernicla nigricans","brant","Brant","Branta bernicla","species","brant"
1740,"Black Brant","Branta bernicla nigricans","brant","Brant","Branta bernicla","species","brant"
1750,"Barnacle Goose","Branta leucopsis","bargoo","Barnacle Goose","Branta leucopsis","species","bargoo"
1722,"Cackling Goose","Branta hutchinsii","cacgoo1","Cackling Goose","Branta hutchinsii","species","cacgoo1"
1721,"Aleutian Canada Goose","Branta hutchinsii leucopareia","cacgoo1","Cackling Goose","Branta hutchinsii","species","cacgoo1"
1720,"Canada Goose","Branta canadensis","cangoo","Canada Goose","Branta canadensis","species","cangoo"
1723,"Large Canada Goose","Branta canadensis maxima","cangoo","Canada Goose","Branta canadensis","species","cangoo"
1729,"Small Canada Goose","Branta canadensis parvipes","cangoo","Canada Goose","Branta canadensis","species","cangoo"
1751,"Hawaiian Goose","Branta sandvicensis","hawgoo","Hawaiian Goose","Branta sandvicensis","species",NA
1716,"Other Hybrid Goose","",NA,NA,NA,NA,NA
1782,"Mute Swan","Cygnus olor","mutswa","Mute Swan","Cygnus olor","species","mutswa"
1810,"Trumpeter Swan","Cygnus buccinator","truswa","Trumpeter Swan","Cygnus buccinator","species","truswa"
1800,"Whistling Swan","Cygnus columbianus columbianus","tunswa","Tundra Swan","Cygnus columbianus","species","tunswa"
1801,"Bewick's Swan","Cygnus columbianus bewickii","tunswa","Tundra Swan","Cygnus columbianus","species","tunswa"
1790,"Whooper Swan","Cygnus cygnus","whoswa","Whooper Swan","Cygnus cygnus","species","whoswa"
1440,"Wood Duck","Aix sponsa","wooduc","Wood Duck","Aix sponsa","species","wooduc"
1392,"Garganey","Spatula querquedula","gargan","Garganey","Spatula querquedula","species",NA
1400,"Blue-winged Teal","Spatula discors","buwtea","Blue-winged Teal","Spatula discors","species","buwtea"
1410,"Cinnamon Teal","Spatula cyanoptera","cintea","Cinnamon Teal","Spatula cyanoptera","species","cintea"
1420,"Northern Shoveler","Spatula clypeata","norsho","Northern Shoveler","Spatula clypeata","species","norsho"
1350,"Gadwall","Mareca strepera","gadwal","Gadwall","Mareca strepera","species","gadwal"
1360,"Eurasian Wigeon","Mareca penelope","eurwig","Eurasian Wigeon","Mareca penelope","species","eurwig"
1370,"American Wigeon","Mareca americana","amewig","American Wigeon","Mareca americana","species","amewig"
1322,"Laysan Duck","Anas laysanensis","layduc","Laysan Duck","Anas laysanensis","species",NA
1321,"Hawaiian Duck","Anas wyvilliana","hawduc","Hawaiian Duck","Anas wyvilliana","species",NA
1320,"Mallard","Anas platyrhynchos","mallar3","Mallard","Anas platyrhynchos","species","mallar3"
1337,"American Black Duck Dominant X Mallard Hybrid","Anas rubripes x platyrhynchos",NA,NA,NA,NA,NA
1325,"Mallard X American Black Duck Intermediate","Anas platyrhynchos x rubripes","x00004","Mallard x American Black Duck (hybrid)","Anas platyrhynchos x rubripes","hybrid",NA
1326,"Mallard X American Black Duck Hybrid","Anas platyrhynchos x rubripes","x00004","Mallard x American Black Duck (hybrid)","Anas platyrhynchos x rubripes","hybrid",NA
1327,"Mallard Dominant X American Black Duck Hybrid","Anas platyrhynchos x rubripes","x00004","Mallard x American Black Duck (hybrid)","Anas platyrhynchos x rubripes","hybrid",NA
1323,"Mallard X Hawaiian Duck Hybrid","Anas platyrhynchos x wyvilliana","x00423","Mallard x Hawaiian Duck (hybrid)","Anas platyrhynchos x wyvilliana","hybrid",NA
1331,"Mexican Duck","Anas diazi","mexduc","Mexican Duck","Anas diazi","species","mexduc"
1330,"American Black Duck","Anas rubripes","ambduc","American Black Duck","Anas rubripes","species","ambduc"
1340,"Mottled Duck","Anas fulvigula","motduc","Mottled Duck","Anas fulvigula","species","motduc"
1431,"White-cheeked Pintail","Anas bahamensis","whcpin","White-cheeked Pintail","Anas bahamensis","species","whcpin"
1430,"Northern Pintail","Anas acuta","norpin","Northern Pintail","Anas acuta","species","norpin"
1390,"Green-winged Teal","Anas crecca","gnwtea","Green-winged Teal","Anas crecca","species","gnwtea"
1380,"European Green-winged Teal","Anas crecca crecca","gnwtea","Green-winged Teal","Anas crecca","species","gnwtea"
1401,"Unidentified Teal","Anas sp. or Spatula sp.",NA,NA,NA,NA,NA
1470,"Canvasback","Aythya valisineria","canvas","Canvasback","Aythya valisineria","species","canvas"
1460,"Redhead","Aythya americana","redhea","Redhead","Aythya americana","species","redhea"
1500,"Ring-necked Duck","Aythya collaris","rinduc","Ring-necked Duck","Aythya collaris","species","rinduc"
1491,"Tufted Duck","Aythya fuligula","tufduc","Tufted Duck","Aythya fuligula","species","tufduc"
1480,"Greater Scaup","Aythya marila","gresca","Greater Scaup","Aythya marila","species","gresca"
1490,"Lesser Scaup","Aythya affinis","lessca","Lesser Scaup","Aythya affinis","species","lessca"
1570,"Steller's Eider","Polysticta stelleri","steeid","Steller's Eider","Polysticta stelleri","species","steeid"
1580,"Spectacled Eider","Somateria fischeri","speeid","Spectacled Eider","Somateria fischeri","species","speeid"
1620,"King Eider","Somateria spectabilis","kineid","King Eider","Somateria spectabilis","species","kineid"
1590,"Common Eider","Somateria mollissima","comeid","Common Eider","Somateria mollissima","species","comeid"
1550,"Harlequin Duck","Histrionicus histrionicus","harduc","Harlequin Duck","Histrionicus histrionicus","species","harduc"
1660,"Surf Scoter","Melanitta perspicillata","sursco","Surf Scoter","Melanitta perspicillata","species","sursco"
1650,"White-winged Scoter","Melanitta deglandi","whwsco2","White-winged Scoter","Melanitta deglandi","species","whwsco2"
1630,"Black Scoter","Melanitta americana","blksco2","Black Scoter","Melanitta americana","species","blksco2"
1540,"Long-tailed Duck","Clangula hyemalis","lotduc","Long-tailed Duck","Clangula hyemalis","species","lotduc"
1530,"Bufflehead","Bucephala albeola","buffle","Bufflehead","Bucephala albeola","species","buffle"
1510,"Common Goldeneye","Bucephala clangula","comgol","Common Goldeneye","Bucephala clangula","species","comgol"
1520,"Barrow's Goldeneye","Bucephala islandica","bargol","Barrow's Goldeneye","Bucephala islandica","species","bargol"
1310,"Hooded Merganser","Lophodytes cucullatus","hoomer","Hooded Merganser","Lophodytes cucullatus","species","hoomer"
1290,"Common Merganser","Mergus merganser","commer","Common Merganser","Mergus merganser","species","commer"
1300,"Red-breasted Merganser","Mergus serrator","rebmer","Red-breasted Merganser","Mergus serrator","species","rebmer"
1680,"Masked Duck","Nomonyx dominicus","masduc","Masked Duck","Nomonyx dominicus","species","masduc"
1670,"Ruddy Duck","Oxyura jamaicensis","rudduc","Ruddy Duck","Oxyura jamaicensis","species","rudduc"
1436,"Other Hybrid Duck","",NA,NA,NA,NA,NA
8600,"Micronesian Megapode","Megapodius laperouse","micscr1","Micronesian Scrubfowl","Megapodius laperouse","species",NA
1820,"American Flamingo","Phoenicopterus ruber","grefla2","American Flamingo","Phoenicopterus ruber","species","grefla2"
50,"Least Grebe","Tachybaptus dominicus","leagre","Least Grebe","Tachybaptus dominicus","species","leagre"
60,"Pied-billed Grebe","Podilymbus podiceps","pibgre","Pied-billed Grebe","Podilymbus podiceps","species","pibgre"
30,"Horned Grebe","Podiceps auritus","horgre","Horned Grebe","Podiceps auritus","species","horgre"
